commentCounts	commentLookings	gameReviews
6505	1	http://www.ign.com/articles/2013/08/18/the-wonderful-101-review
911	0	http://www.ign.com/articles/2013/08/18/disney-infinity-review
5273	2	http://www.ign.com/articles/2013/08/14/splinter-cell-blacklist-review
1037	0	http://www.ign.com/articles/2013/08/12/ducktales-remastered-review
356	0	http://www.ign.com/articles/2013/07/30/cloudberry-kingdom-review
3102	0	http://www.ign.com/articles/2013/07/24/earthbound-review
7601	1	http://www.ign.com/articles/2013/07/22/pikmin-3-review
167	0	http://www.ign.com/articles/2013/07/11/mutant-mudds-deluxe-review
2279	0	http://www.ign.com/articles/2013/06/27/new-super-luigi-u-review
220	0	http://www.ign.com/articles/2013/06/27/dungeons-and-dragons-chronicles-of-mystara-review
908	0	http://www.ign.com/articles/2013/06/21/game-wario-review
1420	0	http://www.ign.com/articles/2013/05/31/sniper-elite-v2-wii-u-review
1305	3	http://www.ign.com/articles/2013/05/20/resident-evil-revelations-hd-review
204	0	http://www.ign.com/articles/2013/04/23/assassins-creed-iii-the-tyranny-of-king-washington-review
118	1	http://www.ign.com/articles/2013/04/05/toki-tori-2-review
634	0	http://www.ign.com/articles/2013/03/26/need-for-speed-most-wanted-u-review
1001	1	http://www.ign.com/articles/2013/03/21/the-walking-dead-survival-instinct-review
2707	0	http://www.ign.com/articles/2013/03/17/monster-hunter-3-ultimate-review
831	1	http://www.ign.com/articles/2013/03/14/lego-city-undercover-review
151	0	http://www.ign.com/articles/2013/02/25/bittrip-presents-runner-2-future-legend-review
186	0	http://www.ign.com/articles/2013/02/22/puddle-wii-u-review-2
344	0	http://www.ign.com/articles/2013/01/22/the-cave-review
151	0	http://www.ign.com/articles/2013/01/15/marvels-the-avengers-battle-for-earth-review
386	0	http://www.ign.com/articles/2013/01/14/007-legends-wii-u-review
283	0	http://www.ign.com/articles/2012/12/18/sing-party-review
153	0	http://www.ign.com/articles/2012/12/14/tank-tank-tank-review
178	0	http://www.ign.com/articles/2012/12/10/just-dance-4-wii-u-review
77	0	http://www.ign.com/articles/2012/12/03/espn-sports-connection-review
156	0	http://www.ign.com/articles/2012/12/03/funky-barn-wii-u-review
216	0	http://www.ign.com/articles/2012/11/30/sonic-all-stars-racing-transformed-wii-u-review
160	0	http://www.ign.com/articles/2012/11/29/disney-epic-mickey-2-the-power-of-two-review-2
164	0	http://www.ign.com/articles/2012/11/29/warriors-orochi-3-hyper-review
104	0	http://www.ign.com/articles/2012/11/28/transformers-prime-the-game-wii-u-review
